GeneID,Tc_ant_1,Tc_ant_2,Tc_ant_3,Tc_ant_5,Tc_leg_1,Tc_leg_2,danaus_leg1,danaus_leg3,danaus_leg4,danaus_leg5,danaus_leg6,danaus_ant1,danaus_ant2,danaus_ant3,danaus_ant4,danaus_ant5,mel_an1,mel_an2,mel_an3,mel_an4,mel_an5,mel_an6,mel_leg1,mel_leg2,mel_leg3,mel_leg4
ENSRNA022722177,2412,1147,2316,477,80,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSRNA022737195,241,456,265,241,28,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000001,553,338,598,125,27,167,828,1051,648,79,9862,744,557,1164,172,962,0,2,1,1,0,0,2,0,0,1
TC000020,1022,194,604,36,6,110,518,421,728,56,2122,529,581,397,228,432,4,8,4,10,10,6,4,0,0,4
TC000021,25,21,23,5,0,12,4911,2829,3982,296,20290,2855,1612,1534,1301,2375,0,3,0,3,0,0,1,0,0,0
TC000024,4341,5641,2961,1565,441,3523,1714,2017,1257,210,3145,1900,1039,1163,1977,2609,42,85,53,61,21,12,26,11,19,45
TC000026,4507,2084,4864,921,145,955,154,123,71,9,778,144,76,71,67,228,0,0,0,0,1,0,0,0,1,0
TC000027,1076,909,750,243,33,439,0,0,0,0,0,0,0,0,0,0,1,10,0,3,2,0,3,0,7,1
TC000028,0,0,0,0,0,0,932,1089,1016,91,9586,1284,955,1064,557,1348,178,784,150,166,232,158,230,116,398,344
TC000029,1517,1397,892,450,74,820,21,14,10,0,25,47,0,2,21,26,0,0,0,0,0,0,0,0,0,0
TC000030,34540,13349,39382,5334,918,5979,865,921,804,97,20835,933,707,719,414,644,214,882,372,492,476,180,495,103,724,633
TC000032,4357,3000,3322,810,123,1741,897,635,456,62,7488,744,692,540,344,880,21,64,30,46,80,56,5820,1488,4443,6564
TC000035,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000040,1097,656,997,244,66,790,97,194,178,15,363,43,56,37,0,59,183,666,335,212,183,229,75,43,109,206
TC000041,0,0,1,0,0,0,3937,3626,3489,203,54502,10276,7614,7662,3326,5478,9,41,10,2,3,9,2,5,6,17
TC000042,6933,1633,7100,550,109,1090,663,664,576,54,10167,541,420,263,138,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000043,2631,4062,1307,1034,604,6015,37039,23859,41951,1321,75091,5565,4952,3984,2260,4456,11,55,9,9,4,0,5,0,6,3
TC000044,1144,904,1197,375,65,455,220,248,171,19,3704,267,238,109,118,281,0,0,0,0,0,0,0,0,0,0
TC000045,4140,1755,2464,483,108,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC000046,1640,697,1735,270,79,528,191,237,288,20,5732,186,177,125,53,297,0,4,1,5,0,1,1,0,1,2
TC000047,35,22,44,8,0,11,1508,1305,1656,92,9067,519,293,307,303,617,4,4,11,16,9,4,5,0,4,5
TC000048,0,0,0,0,0,0,111,103,50,8,1214,274,139,149,67,241,795,735,1068,214,817,1528,74,303,456,827
TC000049,0,0,0,0,0,0,10,25,13,3,28,16,28,27,0,19,154,681,219,356,182,144,151,60,183,288
TC000051,3294,1781,3441,668,112,887,281,298,353,42,5863,1054,584,384,729,918,26,89,32,39,37,21,28,6,46,37
